,Unnamed: 0,scale,path,psnr,ssim,lpips,chamfer
17070,17070,"(192, 384)",/root/autodl-tmp/animedata/train_10k/Japan_4_115558_s2,48.13123255985949,1.3132589,0.003803,6.3295715e-06
17071,17071,"(256, 512)",/root/autodl-tmp/animedata/train_10k/Japan_4_115562_s1,48.755036893008594,1.3062503,0.004406,0.0
17073,17073,"(832, 1664)",/root/autodl-tmp/animedata/train_10k/Japan_4_115585_s1,51.3719406440658,1.3027878,0.004753,0.0
3175,3175,"(704, 1408)",/root/autodl-tmp/animedata/anime_dataset/3857,37.50911928352083,1.1709758,0.00499,1.6961105e-06
4912,4912,"(704, 1408)",/root/autodl-tmp/animedata/anime_dataset/542,50.841147728613336,1.1847076,0.00679,8.035927e-07
4017,4017,any,/root/autodl-tmp/animedata/anime_dataset/4614,31.6753901069425,1.2938426,0.007057,2.402354e-06
5483,5483,"(832, 1664)",/root/autodl-tmp/animedata/anime_dataset/5934,42.16505393674161,1.1422014,0.00864,5.5019013e-06
5390,5390,any,/root/autodl-tmp/animedata/anime_dataset/5850,42.07055938690371,1.1443795,0.008896,5.464667e-06
8961,8961,"(832, 1664)",/root/autodl-tmp/animedata/train_10k/Disney_11_03029_s2,39.44795000656165,0.9962099,0.00905,3.686154e-06
6907,6907,"(960, 1920)",/root/autodl-tmp/animedata/train_10k/Japan_2_22666_s3,37.49625476442336,0.9897933,0.00936,4.396103e-06
3300,3300,"(576, 1152)",/root/autodl-tmp/animedata/anime_dataset/397,41.33552162087116,1.0495317,0.009384,4.6824553e-06
4265,4265,"(576, 1152)",/root/autodl-tmp/animedata/anime_dataset/4838,32.49466926038934,1.2232462,0.00942,5.3205194e-06
15969,15969,any,/root/autodl-tmp/animedata/train_10k/Japan_2_220995_s2,48.4389505891444,1.036246,0.00954,1.019474e-06
5038,5038,"(576, 1152)",/root/autodl-tmp/animedata/anime_dataset/5533,41.54577952976972,1.1294649,0.00956,3.6372273e-06
9062,9062,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Disney_12_03034_s2,38.193676985793765,0.9959874,0.00959,3.5150997e-06
15743,15743,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Japan_2_184099_s2,33.150633597692746,0.33157372,0.00969,6.1288456e-06
4880,4880,"(576, 1152)",/root/autodl-tmp/animedata/anime_dataset/5391,41.535961178282655,1.133481,0.009735,5.2874802e-06
12240,12240,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Disney_v2_18_00052_s2,40.81138439605293,0.9960346,0.0099,5.8838323e-06
4087,4087,"(256, 512)",/root/autodl-tmp/animedata/anime_dataset/4678,32.58033985555567,1.2308035,0.00992,5.1026036e-06
5214,5214,"(576, 1152)",/root/autodl-tmp/animedata/anime_dataset/5692,41.55756279335893,1.1377242,0.01004,5.439201e-06
15744,15744,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Japan_2_184172_s3,36.50351361019788,0.32546246,0.01034,7.5512253e-06
15968,15968,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Japan_2_220989_s2,47.84487659594328,1.0438937,0.01039,1.0314227e-06
3961,3961,"(576, 1152)",/root/autodl-tmp/animedata/anime_dataset/4564,41.41467504709076,1.1679978,0.010445,1.190285e-06
16261,16261,"(704, 1408)",/root/autodl-tmp/animedata/train_10k/Japan_2_71146_s3,39.74294919826293,0.9906742,0.01063,4.6088007e-06
11372,11372,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Disney_7_02949_s2,35.80266640582687,0.99613863,0.011,9.585994e-06
8533,8533,any,/root/autodl-tmp/animedata/train_10k/Disney_0_12193_s1,45.4491130500021,1.0432271,0.011116,3.135028e-06
15970,15970,"(704, 1408)",/root/autodl-tmp/animedata/train_10k/Japan_2_221001_s2,47.64742572161551,1.0375874,0.01119,1.191132e-06
12239,12239,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Disney_v2_18_00048_s1,38.86902331595615,0.9951347,0.01128,6.6670736e-06
16228,16228,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Japan_2_62483_s2,42.29879171894777,0.9937,0.011284,6.085345e-06
